iter	RMSE
0	7.695715714
1	7.610245248
2	7.534263647
3	7.468676731
4	7.408142127
5	7.350387875
6	7.290864754
7	7.244043757
8	7.200650267
9	7.156495093
10	7.120151046
11	7.079484946
12	7.042665903
13	7.014904989
14	6.983874648
15	6.959089568
16	6.936015648
17	6.912977633
18	6.893214702
19	6.871134485
20	6.851555939
21	6.835716903
22	6.816043812
23	6.796993989
24	6.781741502
25	6.767593372
26	6.75460654
27	6.740271682
28	6.727428983
29	6.716736533
30	6.703109973
31	6.695116412
32	6.682266597
33	6.676013166
34	6.668746041
35	6.65927659
36	6.649605142
37	6.641356637
38	6.631059025
39	6.625446472
40	6.620464168
41	6.615569223
42	6.611175944
43	6.604633561
44	6.599123212
45	6.593327192
46	6.586792691
47	6.580505416
48	6.578642894
49	6.573053921
50	6.568639621
51	6.564675343
52	6.560285094
53	6.554727484
54	6.549440721
55	6.545828394
56	6.541265635
57	6.538051466
58	6.533679556
59	6.530153915
60	6.528656891
61	6.525875889
62	6.524242985
63	6.520750351
64	6.519679861
65	6.516975385
66	6.515631555
67	6.513414862
68	6.511832935
69	6.51023135
70	6.508634682
71	6.507317191
72	6.50652864
73	6.50496154
74	6.502596688
75	6.501612779
76	6.500499082
77	6.499418028
78	6.498179357
79	6.497350374
80	6.496688822
81	6.494763055
82	6.490654457
83	6.489260584
84	6.48731694
85	6.484949399
86	6.48430874
87	6.482129248
88	6.47929687
89	6.47802261
90	6.475677145
91	6.47347429
92	6.473011177
93	6.472453973
94	6.470783717
95	6.470188799
96	6.468122638
97	6.466234995
98	6.464725396
99	6.462800521
100	6.460796634
101	6.459758693
102	6.457926116
103	6.457377842
104	6.45578587
105	6.454221249
106	6.453913579
107	6.452167458
108	6.451758321
109	6.451102343
110	6.450691397
111	6.450347225
112	6.448680104
113	6.448439039
114	6.448154421
115	6.447503805
116	6.44548655
117	6.445083244
118	6.444234584
119	6.44322123
120	6.442528738
121	6.442114104
122	6.441888329
123	6.441523877
124	6.441269663
125	6.441153312
126	6.440902414
127	6.440007895
128	6.439592824
129	6.438317485
130	6.437606333
131	6.435780579
132	6.435004881
133	6.433781968
134	6.433104654
135	6.432297275
136	6.4313024
137	6.430593444
138	6.430351006
139	6.429943025
140	6.429362046
141	6.42897925
142	6.428256197
143	6.427642083
144	6.426485884
145	6.425169931
146	6.424856919
147	6.424654402
148	6.424459927
149	6.424114307
150	6.423533093
151	6.422424133
152	6.422262947
153	6.421567571
154	6.420868264
155	6.420244705
156	6.41997655
157	6.419359516
158	6.418789875
159	6.418241304
160	6.41727221
161	6.417170176
162	6.41609525
163	6.41588038
164	6.413736057
165	6.413210146
166	6.412907097
167	6.411789607
168	6.410403244
169	6.408980331
170	6.40747527
171	6.406552008
172	6.405722986
173	6.405511824
174	6.404796238
175	6.404368786
176	6.40386467
177	6.402967262
178	6.402625748
179	6.401973654
180	6.400886373
181	6.399657169
182	6.399390097
183	6.398558557
184	6.398161098
185	6.396993036
186	6.396513065
187	6.395805425
188	6.395389051
189	6.394238601
190	6.39335991
191	6.393142041
192	6.392436578
193	6.391689988
194	6.3913046
195	6.390724516
196	6.390355614
197	6.389861653
198	6.388657194
199	6.387175396
200	6.386534825
201	6.386113174
202	6.383881468
203	6.383199255
204	6.381436432
205	6.380559104
206	6.379695093
207	6.378754716
208	6.378309289
209	6.377082642
210	6.376353261
211	6.376077099
212	6.374115648
213	6.373454251
214	6.372370533
215	6.370652569
216	6.36933482
217	6.368572995
218	6.367458729
219	6.367128266
220	6.366033734
221	6.365459801
222	6.364918144
223	6.364642892
224	6.364358726
225	6.362798667
226	6.362143757
227	6.361607968
228	6.360993828
229	6.35995428
230	6.359357509
231	6.358905181
232	6.358417173
233	6.35790583
234	6.357521383
235	6.356371183
236	6.355343219
237	6.354254488
238	6.353528472
239	6.352971564
240	6.352455212
241	6.352092367
242	6.35146864
243	6.351234091
244	6.350999434
245	6.350427854
246	6.350165328
247	6.349565472
248	6.349258703
249	6.348264457
250	6.347975287
251	6.346802465
252	6.345839116
253	6.344850914
254	6.344380938
255	6.343704937
256	6.342879729
257	6.342057788
258	6.341722939
259	6.341249126
260	6.340805173
