iter	Passed	Remaining
0	0	396
1	0	355
2	1	351
3	1	344
4	1	336
5	1	326
6	2	326
7	2	326
8	2	325
9	13	1354
10	16	1499
11	17	1422
12	17	1363
13	18	1309
14	19	1252
15	19	1199
16	20	1160
17	20	1128
18	21	1103
19	21	1073
20	22	1045
21	22	1018
22	23	987
23	23	961
24	23	934
25	24	910
26	24	894
27	25	886
28	26	877
29	26	871
30	27	859
31	28	851
32	28	841
33	29	837
34	30	828
35	30	819
36	31	810
37	31	798
38	32	789
39	32	779
40	32	770
41	33	759
42	33	754
43	34	746
44	34	739
45	35	733
46	35	728
47	36	727
48	37	722
49	37	716
50	38	710
51	38	701
52	38	695
53	39	687
54	39	684
55	40	678
56	40	673
57	41	671
58	41	668
59	42	665
60	42	661
61	43	657
62	44	657
63	44	657
64	45	654
65	45	649
66	46	646
67	46	642
68	47	640
69	48	638
70	48	636
71	49	633
72	49	631
73	50	629
74	50	626
75	51	624
76	51	622
77	52	620
78	53	621
79	53	617
80	54	613
81	54	608
82	54	604
83	54	599
84	55	598
85	55	594
86	56	596
87	57	593
88	57	591
89	58	589
90	58	587
91	59	591
92	60	588
93	61	588
94	61	586
95	62	585
96	62	583
97	63	581
98	63	579
99	64	577
100	64	575
101	65	574
102	65	572
103	66	571
104	67	572
105	67	570
106	68	567
107	68	564
108	69	570
109	77	624
110	77	624
111	78	622
112	79	620
113	79	619
114	80	616
115	80	616
116	81	614
117	81	612
118	82	611
119	83	610
120	83	607
121	83	604
122	84	601
123	84	599
124	85	597
125	85	594
126	86	591
127	86	588
128	86	585
129	87	583
130	87	581
131	88	579
132	88	577
133	89	576
134	89	574
135	90	572
136	90	570
137	91	568
138	91	566
139	91	564
140	92	562
141	92	561
142	93	558
143	93	557
144	94	555
145	94	555
146	95	555
147	96	554
148	96	553
149	97	551
150	97	550
151	98	548
152	99	549
153	99	548
154	100	546
155	100	545
156	101	543
157	101	543
158	102	541
159	102	540
160	103	539
161	103	537
162	104	536
163	104	534
164	105	534
165	106	532
166	106	531
167	107	530
168	107	529
169	108	528
170	108	526
171	109	525
172	109	523
173	109	521
174	110	520
175	110	519
176	111	517
177	112	518
178	113	519
179	114	520
180	114	518
181	114	516
182	116	521
183	117	519
184	117	517
185	117	515
186	118	515
187	118	513
188	119	511
189	120	511
190	120	510
191	120	508
192	121	506
193	121	504
194	122	504
195	122	502
196	123	501
197	123	500
198	124	500
199	124	499
200	125	499
201	126	497
202	126	496
203	126	495
204	127	493
205	127	493
206	128	492
207	129	492
208	130	492
209	131	493
210	131	493
211	132	492
212	133	492
213	133	491
214	134	490
215	135	490
216	135	489
217	136	488
218	136	487
219	137	486
220	137	486
221	138	485
222	139	484
223	139	483
224	140	482
225	140	481
226	140	479
227	141	478
228	141	477
229	142	476
230	142	475
231	143	474
232	144	474
233	144	473
234	145	472
235	146	473
236	146	472
237	147	470
238	147	470
239	148	469
240	148	468
241	149	467
242	149	466
243	150	465
244	150	464
245	151	463
246	151	462
247	152	462
248	152	461
249	153	460
250	154	459
251	154	458
252	155	458
253	155	457
254	156	456
255	157	456
256	157	455
257	158	454
258	158	454
259	159	453
260	159	452
261	160	453
262	161	451
263	161	450
264	161	448
265	162	447
266	162	445
267	162	444
268	163	443
269	163	442
270	164	442
271	164	440
272	165	439
273	165	439
274	166	438
275	166	437
276	167	435
277	167	434
278	168	434
279	168	433
280	168	432
281	169	431
282	170	430
283	170	429
284	171	429
285	171	428
286	172	428
287	173	427
288	173	427
289	174	426
290	174	426
291	175	425
292	176	425
293	176	424
294	177	423
295	177	422
296	177	420
297	178	419
298	178	418
299	179	418
300	180	418
301	180	417
302	181	417
303	182	417
304	182	416
305	183	416
306	184	415
307	184	414
308	185	413
309	185	413
310	186	412
311	186	411
312	187	411
313	187	410
314	188	409
315	188	408
316	189	408
317	190	407
318	190	406
319	191	406
320	191	405
321	192	404
322	192	403
323	193	403
324	194	403
325	194	402
326	194	401
327	195	400
328	195	399
329	196	398
330	197	398
331	197	398
332	198	397
333	198	396
334	199	395
335	199	394
336	200	394
337	201	393
338	201	393
339	202	392
340	202	391
341	203	391
342	204	391
343	204	390
344	205	390
345	206	389
346	206	389
347	207	388
348	208	388
349	208	387
350	209	386
351	209	386
352	210	385
353	210	384
354	211	383
